id,colour,gene
ENSG00000064225,black,ST3GAL6
ENSG00000064490,black,RFXANK
ENSG00000064601,black,CTSA
ENSG00000064652,blue,SNX24
ENSG00000064666,turquoise,CNN2
ENSG00000065154,green,OAT
ENSG00000065308,black,TRAM2
ENSG00000065328,pink,MCM10
ENSG00000065361,blue,ERBB3
ENSG00000065427,black,KARS
ENSG00000065485,turquoise,PDIA5
ENSG00000065548,blue,ZC3H15
ENSG00000065613,greenyellow,SLK
ENSG00000065615,brown,CYB5R4
ENSG00000065618,turquoise,COL17A1
ENSG00000065621,turquoise,GSTO2
ENSG00000065882,blue,TBC1D1
ENSG00000065911,green,MTHFD2
ENSG00000065989,turquoise,PDE4A
ENSG00000066084,blue,DIP2B
ENSG00000066279,pink,ASPM
ENSG00000066322,black,ELOVL1
ENSG00000066336,green,SPI1
ENSG00000066455,blue,GOLGA5
ENSG00000066735,green,KIF26A
ENSG00000066855,blue,MTFR1
ENSG00000066923,brown,STAG3
ENSG00000066933,blue,MYO9A
ENSG00000067057,turquoise,PFKP
ENSG00000067182,black,TNFRSF1A
ENSG00000067225,purple,PKM
ENSG00000067704,black,IARS2
ENSG00000067798,brown,NAV3
ENSG00000068366,blue,ACSL4
ENSG00000068438,turquoise,FTSJ1
ENSG00000068697,black,LAPTM4A
ENSG00000068796,purple,KIF2A
ENSG00000068912,blue,ERLEC1
ENSG00000069020,purple,MAST4
ENSG00000069424,turquoise,KCNAB2
ENSG00000069431,brown,ABCC9
ENSG00000069493,brown,CLEC2D
ENSG00000069667,blue,RORA
ENSG00000069702,blue,TGFBR3
ENSG00000069812,black,HES2
ENSG00000069849,black,ATP1B3
ENSG00000069869,brown,NEDD4
ENSG00000069956,blue,MAPK6
ENSG00000069966,turquoise,GNB5
ENSG00000070081,blue,NUCB2
ENSG00000070214,black,SLC44A1
ENSG00000070404,purple,FSTL3
ENSG00000070413,black,DGCR2
ENSG00000070423,black,RNF126
ENSG00000070601,brown,FRMPD1
ENSG00000070770,purple,CSNK2A2
ENSG00000071082,black,RPL31
ENSG00000071205,turquoise,ARHGAP10
ENSG00000071655,black,MBD3
ENSG00000071889,black,FAM3A
ENSG00000071967,turquoise,CYBRD1
ENSG00000072042,blue,RDH11
ENSG00000072071,green,LPHN1
ENSG00000072080,brown,SPP2
ENSG00000072110,turquoise,ACTN1
ENSG00000072310,black,SREBF1
ENSG00000072415,blue,MPP5
ENSG00000072422,blue,RHOBTB1
ENSG00000072518,black,MARK2
ENSG00000072571,pink,HMMR
ENSG00000072952,turquoise,MRVI1
ENSG00000072958,black,AP1M1
ENSG00000073111,salmon,MCM2
ENSG00000073605,brown,GSDMB
ENSG00000073711,blue,PPP2R3A
ENSG00000073792,greenyellow,IGF2BP2
ENSG00000074319,black,TSG101
ENSG00000074590,turquoise,NUAK1
ENSG00000074695,blue,LMAN1
ENSG00000074696,black,PTPLAD1
ENSG00000074842,black,C19orf10
ENSG00000074935,brown,TUBE1
ENSG00000074966,blue,TXK
ENSG00000075218,pink,GTSE1
