nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000068024	NA	grey
ENSG00000068079	NA	grey
ENSG00000068120	NA	grey
ENSG00000068305	NA	grey
ENSG00000068354	NA	grey
ENSG00000068366	NA	blue
ENSG00000068438	NA	turquoise
ENSG00000068489	NA	grey
ENSG00000068697	NA	black
ENSG00000068724	NA	grey
ENSG00000068796	NA	purple
ENSG00000068831	NA	grey
ENSG00000068878	NA	grey
ENSG00000068885	NA	grey
ENSG00000068903	NA	grey
ENSG00000068912	NA	blue
ENSG00000068971	NA	grey
ENSG00000069011	NA	grey
ENSG00000069020	NA	purple
ENSG00000069122	NA	grey
ENSG00000069424	NA	turquoise
ENSG00000069431	NA	brown
ENSG00000069493	NA	brown
ENSG00000069667	NA	blue
ENSG00000069702	NA	blue
ENSG00000069812	NA	black
ENSG00000069849	NA	black
ENSG00000069869	NA	brown
ENSG00000069956	NA	blue
ENSG00000069966	NA	turquoise
ENSG00000069974	NA	grey
ENSG00000070018	NA	grey
ENSG00000070047	NA	grey
ENSG00000070081	NA	blue
ENSG00000070182	NA	grey
ENSG00000070214	NA	black
ENSG00000070404	NA	purple
ENSG00000070413	NA	black
ENSG00000070423	NA	black
ENSG00000070444	NA	grey
ENSG00000070526	NA	grey
ENSG00000070601	NA	brown
ENSG00000070614	NA	grey
ENSG00000070669	NA	grey
ENSG00000070718	NA	grey
ENSG00000070756	NA	grey
ENSG00000070770	NA	purple
ENSG00000070831	NA	grey
ENSG00000071054	NA	grey
ENSG00000071082	NA	black
ENSG00000071205	NA	turquoise
ENSG00000071246	NA	grey
ENSG00000071626	NA	grey
ENSG00000071655	NA	black
ENSG00000071794	NA	grey
ENSG00000071889	NA	black
ENSG00000071967	NA	turquoise
ENSG00000071991	NA	grey
ENSG00000072042	NA	blue
ENSG00000072071	NA	green
ENSG00000072080	NA	brown
ENSG00000072110	NA	turquoise
ENSG00000072135	NA	grey
ENSG00000072195	NA	grey
ENSG00000072310	NA	black
ENSG00000072415	NA	blue
ENSG00000072422	NA	blue
ENSG00000072506	NA	grey
ENSG00000072518	NA	black
ENSG00000072571	NA	pink
